"overnight_category"	"fuel_1_general"	"year"	"capacity_mw"	"n"	"avg_size_mw"	"avg_age"	"heat_rate"	"capacity.factor.avg"	"efficiency"	"pred.heat.rate"	"fuel.price"	"adj.fuel.price"
"conventional combined cycle"	"oil"	1992	20	1	20	0	13409.5263157895	0.161207629874161	NA	13581.0397806975	2.551	34.6452324805593
"conventional combined cycle"	"oil"	1993	0	NA	NA	NA	14220.6875	0.129528159037869	NA	13388.7863096687	2.433	32.5749170914239
"conventional combined cycle"	"oil"	1994	0	NA	NA	NA	13416.1666666667	0.164722682141131	NA	13198.6881373791	2.488	32.8383360857992
"conventional combined cycle"	"oil"	1995	0	NA	NA	NA	13685.9565217391	0.171335171005623	NA	13010.7452638287	2.679	34.8557865617972
"conventional combined cycle"	"oil"	1996	0	NA	NA	NA	NA	0.0841988381707773	NA	12824.9576890176	3.16	40.5268662972956
"conventional combined cycle"	"oil"	1997	0	NA	NA	NA	NA	0.230524812822423	NA	12641.3254129457	2.88	36.4070171892836
"conventional combined cycle"	"oil"	1998	20	1	20	0	NA	0.25587476629004	NA	12459.848435613	2.14	26.6640756522118
"conventional combined cycle"	"oil"	1999	0	NA	NA	NA	NA	0.245365820108219	NA	12280.5267570195	2.53	31.0697326952593
"conventional combined cycle"	"oil"	2000	21.2	1	21.2	0	NA	NA	NA	12103.3603771652	4.45	53.8599536783853
"conventional combined cycle"	"oil"	2001	490.14	3	163.38	0	NA	0.434515426517122	NA	11928.3492960502	3.92	46.7591292405167
"conventional combined cycle"	"oil"	2002	0	NA	NA	NA	NA	0.398777031547874	NA	11755.4935136744	3.74	43.9655457411421
"conventional combined cycle"	"oil"	2003	0	NA	NA	NA	NA	0.407859003728506	NA	11584.7930300378	4.68	54.2168313805767
"conventional combined cycle"	"oil"	2004	39.6	2	19.8	0	NA	0.372946930778022	NA	11416.2478451404	4.8	54.7979896566738
"conventional combined cycle"	"oil"	2005	0	NA	NA	NA	NA	0.459982379492063	NA	11249.8579589822	7.17	80.6614815659024
"conventional combined cycle"	"oil"	2006	15	1	15	0	NA	0.437294387923076	NA	11085.6233715633	8.33	92.3432426851219
